2026-02-27 00:17:29 | INFO | RISK | 2026-02-27 00:17:29.248893 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $57.82
2026-02-27 00:17:29 | INFO | RISK | 2026-02-27 00:17:29.559700 | Score: 40.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $59.80
2026-02-27 00:17:30 | INFO | RISK | 2026-02-27 00:17:30.006051 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $104.69
2026-02-27 00:17:30 | INFO | RISK | 2026-02-27 00:17:30.840870 | Score: 45.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $114.83
2026-02-27 00:17:31 | INFO | RISK | 2026-02-27 00:17:31.009842 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $221.97
2026-02-27 00:17:31 | INFO | RISK | 2026-02-27 00:17:31.293893 | Score: 54.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $246.12
2026-02-27 00:17:32 | INFO | RISK | 2026-02-27 00:17:32.360618 | Score: 34.0 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $93.68
2026-02-27 00:17:33 | INFO | RISK | 2026-02-27 00:17:33.124730 | Score: 48.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $84.58
2026-02-27 00:17:34 | INFO | RISK | 2026-02-27 00:17:34.352995 | Score: 48.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $127.31
2026-02-27 00:17:35 | INFO | RISK | 2026-02-27 00:17:35.702184 | Score: 40.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $90.55
2026-02-27 00:17:36 | INFO | RISK | 2026-02-27 00:17:36.446078 | Score: 48.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $122.23
2026-02-27 00:17:36 | INFO | RISK | 2026-02-27 00:17:36.818338 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $131.21
2026-02-27 00:17:37 | INFO | RISK | 2026-02-27 00:17:37.347298 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $194.86
2026-02-27 00:17:37 | INFO | RISK | 2026-02-27 00:17:37.492180 | Score: 52.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $207.68
2026-02-27 00:17:37 | INFO | RISK | 2026-02-27 00:17:37.654320 | Score: 50.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $223.00
2026-02-27 00:17:37 | INFO | RISK | 2026-02-27 00:17:37.912417 | Score: 51.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $271.51
2026-02-27 00:17:39 | INFO | RISK | 2026-02-27 00:17:39.262053 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $130.31
2026-02-27 00:17:40 | INFO | RISK | 2026-02-27 00:17:40.625876 | Score: 32.0 | Vol Risk: 25.0 | Liq Risk: 20.0 | VaR: $75.48
2026-02-27 00:17:40 | INFO | RISK | 2026-02-27 00:17:40.727663 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $102.72
2026-02-27 00:17:41 | INFO | RISK | 2026-02-27 00:17:41.745038 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $85.59
2026-02-27 00:17:42 | INFO | RISK | 2026-02-27 00:17:42.290017 | Score: 42.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $108.07
2026-02-27 00:17:43 | INFO | RISK | 2026-02-27 00:17:43.278876 | Score: 48.5 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $131.40
2026-02-27 00:17:43 | INFO | RISK | 2026-02-27 00:17:43.606490 | Score: 49.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $124.64
2026-02-27 00:17:45 | INFO | RISK | 2026-02-27 00:17:45.199850 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $120.08
2026-02-27 00:17:45 | INFO | RISK | 2026-02-27 00:17:45.859540 | Score: 38.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $91.31
2026-02-27 00:17:46 | INFO | RISK | 2026-02-27 00:17:46.102377 | Score: 41.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $73.48
2026-02-27 00:17:46 | INFO | RISK | 2026-02-27 00:17:46.256326 | Score: 42.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $106.52
2026-02-27 00:17:47 | INFO | RISK | 2026-02-27 00:17:47.610762 | Score: 34.0 | Vol Risk: 25.0 | Liq Risk: 20.0 | VaR: $65.62
2026-02-27 00:17:48 | INFO | RISK | 2026-02-27 00:17:48.640127 | Score: 46.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $78.80
2026-02-27 00:29:39 | INFO | RISK | 2026-02-27 00:29:39.438604 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $48.24
2026-02-27 00:29:39 | INFO | RISK | 2026-02-27 00:29:39.719326 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $114.22
2026-02-27 00:29:40 | INFO | RISK | 2026-02-27 00:29:40.189326 | Score: 39.0 | Vol Risk: 25.0 | Liq Risk: 20.0 | VaR: $52.62
2026-02-27 00:29:40 | INFO | RISK | 2026-02-27 00:29:40.653258 | Score: 34.0 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $260.50
2026-02-27 00:29:40 | INFO | RISK | 2026-02-27 00:29:40.917962 | Score: 38.0 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $93.03
2026-02-27 00:29:41 | INFO | RISK | 2026-02-27 00:29:41.500975 | Score: 45.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $97.88
2026-02-27 00:29:42 | INFO | RISK | 2026-02-27 00:29:42.317501 | Score: 42.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $257.26
2026-02-27 00:29:43 | INFO | RISK | 2026-02-27 00:29:43.585462 | Score: 35.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $110.85
2026-02-27 00:29:43 | INFO | RISK | 2026-02-27 00:29:43.718458 | Score: 42.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $111.65
2026-02-27 00:29:44 | INFO | RISK | 2026-02-27 00:29:44.741280 | Score: 41.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $73.48
2026-02-27 00:29:45 | INFO | RISK | 2026-02-27 00:29:45.386705 | Score: 35.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $68.05
2026-02-27 00:29:45 | INFO | RISK | 2026-02-27 00:29:45.831767 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $77.21
2026-02-27 00:29:46 | INFO | RISK | 2026-02-27 00:29:46.564970 | Score: 43.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $164.88
2026-02-27 00:29:47 | INFO | RISK | 2026-02-27 00:29:47.546814 | Score: 42.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $143.19
2026-02-27 00:29:47 | INFO | RISK | 2026-02-27 00:29:47.994722 | Score: 46.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $108.83
2026-02-27 00:29:48 | INFO | RISK | 2026-02-27 00:29:48.750009 | Score: 39.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $66.38
2026-02-27 00:29:49 | INFO | RISK | 2026-02-27 00:29:49.532080 | Score: 27.5 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $78.01
2026-02-27 00:29:50 | INFO | RISK | 2026-02-27 00:29:50.072818 | Score: 35.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $78.89
2026-02-27 00:29:50 | INFO | RISK | 2026-02-27 00:29:50.375163 | Score: 30.5 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $82.98
2026-02-27 00:29:50 | INFO | RISK | 2026-02-27 00:29:50.585158 | Score: 37.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $112.91
2026-02-27 00:29:50 | INFO | RISK | 2026-02-27 00:29:50.905296 | Score: 42.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $91.43
