Epoch 32: Steps=74, Rewards={'agent1': 3.955417549085978, 'agent2': 3.185013824395902, 'agent3': 3.914922706457702, 'agent4': 4.207065532976152, 'agent5': 3.483602677820286, 'agent6': 4.022230821171476, 'agent7': 3.835521925216862, 'agent8': 3.672827616796756, 'agent9': 3.0984607635143973, 'agent10': 3.2207611594723953}, Losses={'agent1': 0.25552166, 'agent2': 0.32890457, 'agent3': 0.24750449, 'agent4': 0.29716036, 'agent5': 0.32290912, 'agent6': 0.29257312, 'agent7': 0.3080636, 'agent8': 0.27426997, 'agent9': 0.29087576, 'agent10': 0.30504033}
Epoch 33: Steps=87, Rewards={'agent1': 2.9746013570972774, 'agent2': 1.974752401512653, 'agent3': 3.0904398559086634, 'agent4': 3.9090273643751696, 'agent5': 4.48886208297836, 'agent6': 2.4214865456684813, 'agent7': 3.019881501728042, 'agent8': 2.9201302454669826, 'agent9': 2.854264064570864, 'agent10': 3.7536634837765788}, Losses={'agent1': 0.39655772, 'agent2': 0.33808812, 'agent3': 0.36690813, 'agent4': 0.3775682, 'agent5': 0.3465697, 'agent6': 0.37670755, 'agent7': 0.29727322, 'agent8': 0.33733892, 'agent9': 0.3391505, 'agent10': 0.3394169}
Epoch 34: Steps=86, Rewards={'agent1': 3.6010147811246926, 'agent2': 4.608592524163983, 'agent3': 3.5458892744367136, 'agent4': 2.8538916708399005, 'agent5': 2.636673750991984, 'agent6': 2.8378658778754007, 'agent7': 3.1206555748334335, 'agent8': 3.9485584123309416, 'agent9': 2.2496460111698413, 'agent10': 2.1372286709444728}, Losses={'agent1': 0.24905995, 'agent2': 0.2523262, 'agent3': 0.22878638, 'agent4': 0.24889846, 'agent5': 0.23792745, 'agent6': 0.23283772, 'agent7': 0.2734365, 'agent8': 0.24038231, 'agent9': 0.251207, 'agent10': 0.24488454}
Epoch 35: Steps=95, Rewards={'agent1': 3.6810099183570753, 'agent2': 2.2825407570028524, 'agent3': 2.6308228672764638, 'agent4': 2.969390811786237, 'agent5': 2.3985467785880847, 'agent6': 2.857194565101345, 'agent7': 4.043862626509677, 'agent8': 2.2580975817263864, 'agent9': 2.7172603962735633, 'agent10': 1.7760714285156036}, Losses={'agent1': 0.39686397, 'agent2': 0.28410164, 'agent3': 0.2575615, 'agent4': 0.3394342, 'agent5': 0.28986686, 'agent6': 0.28508046, 'agent7': 0.34305048, 'agent8': 0.2903694, 'agent9': 0.3484431, 'agent10': 0.28211227}
Epoch 36: Steps=93, Rewards={'agent1': 3.1438778688815048, 'agent2': 3.979731242455451, 'agent3': 2.658757875887657, 'agent4': 2.6574194549604973, 'agent5': 2.5922982912907, 'agent6': 4.5074101570326475, 'agent7': 3.3444592843724505, 'agent8': 3.7984916950812724, 'agent9': 2.4431390618543665, 'agent10': 2.7682498629208854}, Losses={'agent1': 0.4159017, 'agent2': 0.3457815, 'agent3': 0.39164227, 'agent4': 0.4537764, 'agent5': 0.41613778, 'agent6': 0.38794208, 'agent7': 0.42127824, 'agent8': 0.35656592, 'agent9': 0.3197373, 'agent10': 0.4336173}
Epoch 37: Steps=91, Rewards={'agent1': 3.556880848613538, 'agent2': 2.0374690693447586, 'agent3': 4.000831188447323, 'agent4': 2.4491467840804613, 'agent5': 2.7036569772776318, 'agent6': 2.7246421754374412, 'agent7': 2.6486580453912842, 'agent8': 2.95751026259326, 'agent9': 2.4464749652059865, 'agent10': 2.898460450255366}, Losses={'agent1': 0.34208024, 'agent2': 0.3906563, 'agent3': 0.3794968, 'agent4': 0.2717171, 'agent5': 0.3506101, 'agent6': 0.41766188, 'agent7': 0.31074545, 'agent8': 0.39528134, 'agent9': 0.32600817, 'agent10': 0.3128366}
Epoch 38: Steps=85, Rewards={'agent1': 2.773313805091429, 'agent2': 3.464893273547764, 'agent3': 3.193180482474239, 'agent4': 3.459424467270126, 'agent5': 3.1757286374217695, 'agent6': 3.442751460384249, 'agent7': 4.460655481261791, 'agent8': 4.436109887685451, 'agent9': 3.9012598482897323, 'agent10': 3.978581079871822}, Losses={'agent1': 0.3548767, 'agent2': 0.32867464, 'agent3': 0.30474606, 'agent4': 0.30654562, 'agent5': 0.2828351, 'agent6': 0.31967765, 'agent7': 0.29538742, 'agent8': 0.30165324, 'agent9': 0.29483813, 'agent10': 0.31446797}
Epoch 39: Steps=92, Rewards={'agent1': 2.9223772356785687, 'agent2': 3.8175227030023664, 'agent3': 3.4279635062139264, 'agent4': 3.2724516261889156, 'agent5': 3.7051334459142695, 'agent6': 3.830281436155532, 'agent7': 3.391360273243092, 'agent8': 3.259656572552, 'agent9': 2.6416420371076414, 'agent10': 2.8443748880131587}, Losses={'agent1': 0.2514392, 'agent2': 0.26690474, 'agent3': 0.2444724, 'agent4': 0.2891208, 'agent5': 0.3151959, 'agent6': 0.3275335, 'agent7': 0.2453053, 'agent8': 0.25882593, 'agent9': 0.29608333, 'agent10': 0.2816155}
Epoch 40: Steps=98, Rewards={'agent1': 3.131922240999181, 'agent2': 3.6330463710716536, 'agent3': 4.159379537471266, 'agent4': 2.7421215121226172, 'agent5': 2.219080164427292, 'agent6': 2.6485531961598494, 'agent7': 2.7189414014542916, 'agent8': 4.025720639753035, 'agent9': 3.764530873206491, 'agent10': 3.0777563286672804}, Losses={'agent1': 0.3175899, 'agent2': 0.30734476, 'agent3': 0.3298146, 'agent4': 0.34680918, 'agent5': 0.27144757, 'agent6': 0.32300553, 'agent7': 0.29696557, 'agent8': 0.3247834, 'agent9': 0.30014294, 'agent10': 0.30789953}
Epoch 41: Steps=201, Rewards={'agent1': 3.548418320901725, 'agent2': 1.0897017757684606, 'agent3': 1.8738424946725438, 'agent4': 1.7433695248246344, 'agent5': 1.262971396041008, 'agent6': 1.3229896626185729, 'agent7': 1.6416516986563652, 'agent8': 1.3811094238176318, 'agent9': 1.4862716253322623, 'agent10': 1.1334995944722583}, Losses={'agent1': 0.3549073, 'agent2': 0.26710576, 'agent3': 0.3383698, 'agent4': 0.32779676, 'agent5': 0.2789261, 'agent6': 0.2928943, 'agent7': 0.30979759, 'agent8': 0.32450387, 'agent9': 0.2847099, 'agent10': 0.285317}
